Timestamp,Sensor_1,Sensor_2,Sensor_3,Fault
2025-01-01 00:00:00,52.48,36.03,67.07,0
2025-01-01 01:00:00,49.31,29.71,66.83,1
2025-01-01 02:00:00,53.24,35.97,65.04,1
2025-01-01 03:00:00,57.62,33.84,63.36,0
2025-01-01 04:00:00,48.83,32.97,55.09,0
2025-01-01 05:00:00,48.83,36.84,62.06,0
2025-01-01 06:00:00,57.9,38.09,62.6,0
2025-01-01 07:00:00,53.84,37.79,59.38,1
2025-01-01 08:00:00,47.65,32.48,63.87,1
2025-01-01 09:00:00,52.71,34.07,67.83,0
2025-01-01 10:00:00,47.68,35.99,78.2,0
2025-01-01 11:00:00,47.67,37.93,66.22,0
2025-01-01 12:00:00,51.21,33.56,66.8,0
2025-01-01 13:00:00,40.43,34.44,64.48,1
2025-01-01 14:00:00,41.38,31.68,51.57,0
2025-01-01 15:00:00,47.19,31.41,64.81,0
2025-01-01 16:00:00,44.94,37.44,65.42,0
2025-01-01 17:00:00,51.57,39.07,82.24,0
2025-01-01 18:00:00,45.46,34.78,63.65,0
2025-01-01 19:00:00,42.94,38.01,67.11,0
2025-01-01 20:00:00,57.33,36.08,64.76,0
2025-01-01 21:00:00,48.87,33.06,56.82,0
2025-01-01 22:00:00,50.34,36.08,73.0,0
2025-01-01 23:00:00,42.88,39.61,70.26,0
2025-01-02 00:00:00,47.28,34.89,70.54,0
2025-01-02 01:00:00,50.55,39.69,58.63,0
2025-01-02 02:00:00,44.25,27.14,74.82,0
2025-01-02 03:00:00,51.88,37.47,55.19,0
2025-01-02 04:00:00,47.0,35.26,69.11,0
2025-01-02 05:00:00,48.54,34.1,80.33,1
2025-01-02 06:00:00,46.99,35.28,58.07,0
2025-01-02 07:00:00,59.26,29.04,61.04,0
2025-01-02 08:00:00,49.93,34.34,65.7,0
2025-01-02 09:00:00,44.71,36.07,61.48,0
2025-01-02 10:00:00,54.11,39.43,54.15,0
2025-01-02 11:00:00,43.9,33.45,65.48,0
2025-01-02 12:00:00,51.04,32.57,57.56,1
2025-01-02 13:00:00,40.2,33.49,68.32,0
2025-01-02 14:00:00,43.36,37.75,58.56,1
2025-01-02 15:00:00,50.98,35.99,75.85,0
2025-01-02 16:00:00,53.69,33.41,59.52,0
2025-01-02 17:00:00,50.86,36.54,62.75,0
2025-01-02 18:00:00,49.42,35.29,70.69,0
2025-01-02 19:00:00,48.49,37.91,56.38,0
2025-01-02 20:00:00,42.61,32.89,66.59,0
2025-01-02 21:00:00,46.4,34.02,74.15,0
2025-01-02 22:00:00,47.7,33.82,53.75,0
2025-01-02 23:00:00,55.29,30.61,66.29,0
